,Goal 1,Goal 2,Goal 3,Goal 4,Avoid [Ambulance Mobilized At Station]
timestamp,cps,cps,cps,cps,cps
16:11:58.7197,1.0000,1.0000,1.0000,1.0000,1.0000
16:11:59.7207,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:00.7208,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:01.7208,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:02.7209,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:03.7209,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:04.7210,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:05.7210,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:06.7213,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:07.7213,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:08.7240,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:09.7241,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:10.7248,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:11.7251,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:12.7276,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:13.7277,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:14.7277,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:15.7278,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:16.7278,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:17.7279,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:18.7279,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:19.7280,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:20.7290,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:21.7297,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:22.7297,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:23.7298,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:24.7320,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:25.7342,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:26.7367,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:27.7388,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:28.7389,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:29.7413,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:30.7414,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:31.7414,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:32.7431,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:33.7431,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:34.7454,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:35.7474,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:36.7491,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:37.7491,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:38.7492,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:39.7498,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:40.7530,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:41.7550,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:42.7553,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:43.7556,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:44.7556,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:45.7575,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:46.7576,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:47.7582,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:48.7610,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:49.7642,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:50.7663,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:51.7687,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:52.7687,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:53.7688,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:54.7716,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:55.7725,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:56.7725,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:57.7726,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:58.7745,1.0000,1.0000,1.0000,1.0000,1.0000
16:12:59.7746,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:00.7748,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:01.7748,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:02.7770,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:03.7771,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:04.7812,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:05.7820,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:06.7821,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:07.7850,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:08.7858,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:09.7869,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:10.7872,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:11.7874,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:12.7900,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:13.7900,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:14.7901,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:15.7932,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:16.7937,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:17.7953,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:18.7984,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:19.7986,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:20.8018,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:21.8018,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:22.8041,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:23.8067,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:24.8067,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:25.8074,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:26.8074,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:27.8076,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:28.8075,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:29.8076,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:30.8076,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:31.8104,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:32.8108,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:33.8302,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:34.8202,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:35.8204,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:36.8203,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:37.8204,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:38.8214,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:39.8219,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:40.8247,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:41.8248,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:42.8249,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:43.8249,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:44.8265,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:45.8265,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:46.8296,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:47.8296,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:48.8323,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:49.8354,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:50.8374,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:51.8374,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:52.8375,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:53.8375,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:54.8376,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:55.8376,0.9878,1.0000,1.0000,1.0000,1.0000
16:13:56.8377,0.9762,1.0000,1.0000,1.0000,1.0000
16:13:57.8377,0.9651,1.0000,1.0000,1.0000,1.0000
16:13:58.8377,0.9655,1.0000,1.0000,1.0000,1.0000
16:13:59.8397,0.9659,1.0000,1.0000,1.0000,1.0000
