2016-08-09 10:40:23.7363 INFO Waiting for connection...
2016-08-09 10:40:32.1417 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="IncidentForm"><MessageId>a334db47-2c70-4e11-9eba-96c3305351f7</MessageId><Latitude>50.8388062</Latitude><Longitude>4.366528</Longitude></Message>
2016-08-09 10:40:32.3128 INFO Waiting for connection...
2016-08-09 10:40:35.0160 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="RegisterAmbulanceMessage"><MessageId>7ca69083-7967-4b99-88c3-1e92459bc4a1</MessageId><Identifier>A9</Identifier></Message>
2016-08-09 10:40:35.0173 INFO Waiting for connection...
2016-08-09 10:40:35.0221 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="PositionMessage"><MessageId>99e3ffb3-cd0e-48c3-a895-609d1eaa364e</MessageId><AmbulanceIdentifier>A9</AmbulanceIdentifier><Latitude>0</Latitude><Longitude>0</Longitude></Message>
2016-08-09 10:40:35.0233 INFO Waiting for connection...
2016-08-09 10:40:35.0251 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="AmbulanceStatusMessage"><MessageId>ffb6863b-a1ab-4cdf-a7cb-271c8c02e53a</MessageId><AmbulanceIdentifier>A9</AmbulanceIdentifier><Status>ATSTATION</Status></Message>
2016-08-09 10:40:35.0263 INFO Waiting for connection...
2016-08-09 11:37:18.9475 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="RegisterAmbulanceMessage"><MessageId>badb5460-7efd-48de-9b3e-674f35b7b8e7</MessageId><Identifier>A9</Identifier></Message>
2016-08-09 11:37:18.9495 INFO Waiting for connection...
2016-08-09 11:37:18.9547 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="PositionMessage"><MessageId>c07dc14a-d61d-4e50-9060-370ed2033e4c</MessageId><AmbulanceIdentifier>A9</AmbulanceIdentifier><Latitude>0</Latitude><Longitude>0</Longitude></Message>
2016-08-09 11:37:18.9547 INFO Waiting for connection...
2016-08-09 11:37:18.9570 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="AmbulanceStatusMessage"><MessageId>c9ab371b-fa90-45a1-9633-492a17d0681e</MessageId><AmbulanceIdentifier>A9</AmbulanceIdentifier><Status>ATSTATION</Status></Message>
2016-08-09 11:37:18.9570 INFO Waiting for connection...
2016-08-09 11:37:23.9594 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="PositionMessage"><MessageId>887a9d86-3ef1-4aa3-8b40-dc161ce128a8</MessageId><AmbulanceIdentifier>A9</AmbulanceIdentifier><Latitude>0</Latitude><Longitude>0</Longitude></Message>
2016-08-09 11:37:23.9599 INFO Waiting for connection...
2016-08-09 11:37:23.9612 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="AmbulanceStatusMessage"><MessageId>d4d92c33-17b3-4732-bbe6-cf5240f0bd90</MessageId><AmbulanceIdentifier>A9</AmbulanceIdentifier><Status>LEAVING</Status></Message>
2016-08-09 11:37:23.9617 INFO Waiting for connection...
2016-08-09 11:37:28.9684 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="PositionMessage"><MessageId>acebde8d-d0ac-43aa-895e-6de30cbb1666</MessageId><AmbulanceIdentifier>A9</AmbulanceIdentifier><Latitude>0</Latitude><Longitude>0</Longitude></Message>
2016-08-09 11:37:28.9689 INFO Waiting for connection...
2016-08-09 11:37:28.9703 INFO Text received: <?xml version="1.0" encoding="utf-32"?><Message xmlns:xsd="http://www.w3.org/2001/XMLSchema" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xsi:type="AmbulanceStatusMessage"><MessageId>eff07b11-6c9a-4ce0-bd65-decbe865c1c9</MessageId><AmbulanceIdentifier>A9</AmbulanceIdentifier><Status>ONSCENE</Status></Message>
2016-08-09 11:37:28.9707 INFO Waiting for connection...
2016-08-09 11:39:54.7253 INFO Waiting for a message...
2016-08-09 11:41:50.1011 INFO Message da12aab4-5816-4406-8753-523fb1bb7700 received (LAS.Core.Messages.RegisterAmbulanceMessage)
2016-08-09 11:41:50.1243 INFO Waiting for a message...
2016-08-09 11:41:50.1293 INFO Message 0ae8da4b-c000-4a21-84f7-e504b3106ae3 received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:41:50.1293 INFO Waiting for a message...
2016-08-09 11:41:50.1327 INFO Message 68ddf15f-ceba-475a-aae3-6569039a7fc7 received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:41:50.1332 INFO Waiting for a message...
2016-08-09 11:41:55.1335 INFO Message 05bc7220-7d2f-48c3-a2b6-ce1ee02a6043 received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:41:55.1339 INFO Waiting for a message...
2016-08-09 11:41:55.1382 INFO Message e8bd4246-38b9-4505-a79c-6cfbfb68a206 received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:41:55.1382 INFO Waiting for a message...
2016-08-09 11:42:00.1469 INFO Message f0776513-f3a9-4a4e-8b54-0a6fac97e0dd received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:42:00.1469 INFO Waiting for a message...
2016-08-09 11:42:00.1487 INFO Message cbac6a26-2ae8-478f-8942-853ea6c6e309 received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:42:00.1490 INFO Waiting for a message...
2016-08-09 11:42:48.2531 INFO Waiting for a message...
2016-08-09 11:42:59.5346 INFO Message 2b92c92c-6d52-4579-8cb2-a20ece6576ee received (LAS.Core.Messages.RegisterAmbulanceMessage)
2016-08-09 11:42:59.5643 INFO Waiting for a message...
2016-08-09 11:42:59.5709 INFO Message da4363c6-d64e-44fb-a948-909fa112338f received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:42:59.5723 INFO Waiting for a message...
2016-08-09 11:42:59.5779 INFO Message c14bddb4-545d-4831-bdec-e22ef7dc5d8b received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:42:59.5779 INFO Waiting for a message...
2016-08-09 11:43:04.5770 INFO Message 060a88ff-8be1-4a91-95d9-674fa5e85bc0 received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:04.5770 INFO Waiting for a message...
2016-08-09 11:43:04.5820 INFO Message 025b1356-8d3d-408d-8603-8be674e2dcc2 received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:43:04.5820 INFO Waiting for a message...
2016-08-09 11:43:09.5840 INFO Message ef4110d0-df2f-4b20-8638-5d44242fb666 received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:09.5840 INFO Waiting for a message...
2016-08-09 11:43:09.5862 INFO Message c20a8f7a-f1b4-4987-8eed-4f12f2819815 received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:43:09.5862 INFO Waiting for a message...
2016-08-09 11:43:14.5890 INFO Message d02726da-0790-4bde-8a50-54bfdd1109eb received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:14.5905 INFO Waiting for a message...
2016-08-09 11:43:14.5925 INFO Message a8f010e1-bae3-48bf-aaf2-9d489f225f0f received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:43:14.5930 INFO Waiting for a message...
2016-08-09 11:43:19.5959 INFO Message da21e95a-d50b-49fc-b071-52b0a56e5eb8 received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:19.5959 INFO Waiting for a message...
2016-08-09 11:43:19.5982 INFO Message b1ac274b-ae85-4b31-8dc2-d8416bc953b4 received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:43:19.5982 INFO Waiting for a message...
2016-08-09 11:43:24.5991 INFO Message 506fd9d0-d101-4f39-9d95-6a690cc095ca received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:24.5991 INFO Waiting for a message...
2016-08-09 11:43:24.6037 INFO Message a440590d-5970-441d-bed9-6304da082a5e received (LAS.Core.Messages.AmbulanceStatusMessage)
2016-08-09 11:43:24.6040 INFO Waiting for a message...
2016-08-09 11:43:29.6112 INFO Message 0e822c13-d594-4a68-9aab-7caf2c12eb91 received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:29.6119 INFO Waiting for a message...
2016-08-09 11:43:34.6163 INFO Message 8a9b3a29-4cd1-40cb-8033-228efdc201fa received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:34.6163 INFO Waiting for a message...
2016-08-09 11:43:39.6230 INFO Message 9a3592ef-692b-4bcb-b36f-5b5b939afa2c received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:39.6230 INFO Waiting for a message...
2016-08-09 11:43:44.6295 INFO Message 167265fa-7996-40e5-b5f3-e0104fd4bfe4 received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:44.6304 INFO Waiting for a message...
2016-08-09 11:43:49.6352 INFO Message 79c5980c-4078-4122-b221-654a0c408978 received (LAS.Core.Messages.PositionMessage)
2016-08-09 11:43:49.6352 INFO Waiting for a message...
